
> my-project@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.0 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.168.62:3000
✓ Ready in 432ms

 GET / 200 in 2.2s (next.js: 1823ms, application-code: 339ms)
 GET / 200 in 52ms (next.js: 8ms, application-code: 44ms)
 GET / 200 in 89ms (next.js: 62ms, application-code: 27ms)
 GET / 200 in 30ms (next.js: 4ms, application-code: 27ms)
 GET / 200 in 133ms (next.js: 2ms, application-code: 131ms)
 GET / 200 in 205ms (next.js: 3ms, application-code: 203ms)
 GET / 200 in 34ms (next.js: 5ms, application-code: 29ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 30ms (next.js: 4ms, application-code: 27ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 28ms (next.js: 1546µs, application-code: 27ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 25ms (next.js: 1928µs, application-code: 24ms)
 GET / 200 in 21ms (next.js: 1996µs, application-code: 19ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 26ms (next.js: 1882µs, application-code: 24ms)
 GET / 200 in 34ms (next.js: 3ms, application-code: 31ms)
 GET / 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 24ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 27ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 30ms (next.js: 1961µs, application-code: 28ms)
 GET / 200 in 19ms (next.js: 1575µs, application-code: 17ms)
 GET / 200 in 18ms (next.js: 1879µs, application-code: 16ms)
 GET / 200 in 20ms (next.js: 1508µs, application-code: 19ms)
 GET / 200 in 21ms (next.js: 1610µs, application-code: 19ms)
 GET / 200 in 16ms (next.js: 1629µs, application-code: 14ms)
 GET / 200 in 18ms (next.js: 1588µs, application-code: 16ms)
 GET / 200 in 21ms (next.js: 1685µs, application-code: 19ms)
 GET / 200 in 101ms (next.js: 1841µs, application-code: 100ms)
 GET / 200 in 22ms (next.js: 1601µs, application-code: 20ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 17ms (next.js: 1814µs, application-code: 15ms)
 GET / 200 in 22ms (next.js: 1549µs, application-code: 21ms)
 GET / 200 in 18ms (next.js: 1596µs, application-code: 16ms)
 GET / 200 in 23ms (next.js: 1577µs, application-code: 22ms)
 GET / 200 in 16ms (next.js: 1529µs, application-code: 14ms)
 GET / 200 in 20ms (next.js: 1459µs, application-code: 18ms)
 GET / 200 in 97ms (next.js: 1831µs, application-code: 95ms)
 GET / 200 in 18ms (next.js: 1871µs, application-code: 16ms)
 GET / 200 in 17ms (next.js: 2ms, application-code: 15ms)
